"DR Number","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting District","Crime Code","Crime Code Description","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Weapon Used Code","Weapon Description","Status Code","Crime Code 1","Crime Code 2","Crime Code 3","Crime Code 4","Address","Cross Street","lat","lon"
"172100508","01/09/2017","12/23/2016","1500","21","Topanga","2161","310","BURGLARY","0344","36","M","A","720","JUNIOR HIGH SCHOOL","","","IC","310","","","","23800    CALIFA                       ST","","34.1779","-118.6445"
"172104035","01/02/2017","12/31/2016","0800","21","Topanga","2161","310","BURGLARY","1609 0321 0344","27","M","A","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5600    OSTIN                        AV","","34.1722","-118.6527"
"172104114","01/03/2017","12/19/2016","1000","21","Topanga","2185","310","BURGLARY","1607 0321","56","F","W","501","SINGLE FAMILY DWELLING","","","IC","310","","","","22100    SAN MIGUEL                   ST","","34.1586","-118.608"
"172104222","01/04/2017","12/21/2016","1500","21","Topanga","2187","310","BURGLARY","0344 1609","59","M","O","501","SINGLE FAMILY DWELLING","","","IC","310","","","","21600    MEDINA ESTATES               DR","","34.1583","-118.6001"
"172104718","01/13/2017","12/30/2016","1500","21","Topanga","2177","310","BURGLARY","0344 0321 1606","49","M","H","707","GARAGE/CARPORT","","","IC","310","","","","20800    CLARK                        ST","","34.1688","-118.5854"
"172117403","09/26/2017","09/25/2016","2200","21","Topanga","2185","310","BURGLARY","0344 0321 1609","116","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","5300    TOPANGA CANYON               BL","","34.1592","-118.6108"
"162121229","01/17/2017","01/16/2017","2210","21","Topanga","2185","310","BURGLARY","0344 1402","34","M","W","501","SINGLE FAMILY DWELLING","","","AA","310","998","","","22100    SAN MIGUEL                   ST","","34.1586","-118.608"
"172100504","01/09/2017","01/09/2017","0243","21","Topanga","2175","310","BURGLARY","1609 0344","27","M","B","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172100512","01/11/2017","01/11/2017","1215","21","Topanga","2187","310","BURGLARY","1607 1609 0344","42","F","W","501","SINGLE FAMILY DWELLING","","","AA","310","","","","21600    DUMETZ                       RD","","34.1635","-118.5977"
"172100568","02/05/2017","02/05/2017","1015","21","Topanga","2173","310","BURGLARY","1606 0321 0344","56","F","W","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23100    CANZONET                     ST","","34.1666","-118.63"
